Model,Seed,epoch,train_loss,train_f1,dev_loss,dev_f1,lr,epoch_s
CharTransformer,42,6,0.138402,0.948545,0.204898,0.947496,0.001,4.22
CharTransformer,42,7,0.138907,0.947859,0.207118,0.948423,0.001,4.17
CharTransformer,42,8,0.130403,0.95271,0.210224,0.948162,0.001,4.27
CharTransformer,42,9,0.12616,0.953217,0.194618,0.95118,0.001,4.22
CharTransformer,42,10,0.125561,0.953352,0.198742,0.951153,0.001,4.21
CharTransformer,42,11,0.116573,0.960792,0.204008,0.952953,0.001,4.28
CharTransformer,42,12,0.118838,0.955812,0.19167,0.954164,0.001,4.33
CharTransformer,42,13,0.109269,0.960871,0.189367,0.955553,0.001,4.17
CharTransformer,42,14,0.10834,0.961987,0.19279,0.956157,0.001,4.29
CharTransformer,42,15,0.101606,0.964866,0.191585,0.95752,0.001,4.25
CharTransformer,42,16,0.104759,0.964829,0.202643,0.955885,0.001,4.26
CharTransformer,42,17,0.09612,0.966448,0.188921,0.957282,0.0005,4.22
CharTransformer,42,18,0.089864,0.968861,0.187487,0.958326,0.0005,4.3
CharTransformer,42,19,0.085691,0.97212,0.191543,0.959187,0.0005,4.22
CharTransformer,42,20,0.08776,0.970078,0.188755,0.958862,0.0005,4.18
CharTransformer,42,21,0.084461,0.970927,0.186868,0.960082,0.0005,4.21
CharTransformer,42,22,0.084324,0.970236,0.184556,0.958601,0.0005,4.26
CharTransformer,42,23,0.078666,0.97433,0.194875,0.959085,0.0005,4.31
CharTransformer,42,24,0.080487,0.972228,0.185714,0.958088,0.0005,4.32
CharTransformer,42,25,0.078718,0.973146,0.19071,0.958583,0.0005,4.33
CharTransformer,42,26,0.07272,0.976954,0.201185,0.959785,0.00025,4.28
CharTransformer,42,27,0.070305,0.977026,0.192975,0.960628,0.00025,4.26
CharTransformer,42,28,0.069504,0.976808,0.189186,0.960359,0.00025,4.22
CharTransformer,42,29,0.06611,0.978875,0.197316,0.960273,0.000125,4.33
CharTransformer,42,30,0.065817,0.97879,0.192885,0.961138,0.000125,4.38
CharTransformer,42,31,0.063213,0.980053,0.195585,0.960673,0.000125,4.19
CharTransformer,42,32,0.063569,0.979811,0.197181,0.960946,6.25e-05,4.24
CharTransformer,42,33,0.062538,0.98046,0.19999,0.96082,6.25e-05,4.23
CharTransformer,42,34,0.062293,0.980427,0.198332,0.960697,6.25e-05,4.27
CharTransformer,42,35,0.061691,0.980621,0.199612,0.960863,3.125e-05,4.16
CharTransformer,42,36,0.061739,0.980784,0.198493,0.961234,3.125e-05,4.37
CharTransformer,42,37,0.061286,0.980748,0.198202,0.960946,3.125e-05,4.25
CharTransformer,42,38,0.060233,0.981378,0.199146,0.960947,1.5625e-05,4.15
CharTransformer,42,39,0.060415,0.981344,0.199753,0.961196,1.5625e-05,4.34
CharTransformer,42,40,0.059762,0.981596,0.200848,0.960801,1.5625e-05,4.41
CharTransformer,42,41,0.060754,0.980864,0.198588,0.960955,7.8125e-06,4.25
CharTransformer,42,42,0.060081,0.981373,0.200623,0.960952,7.8125e-06,4.25
CharTransformer,7,1,0.306473,0.874698,0.355341,0.890398,0.001,4.2
CharTransformer,7,2,0.223734,0.911538,0.279615,0.915902,0.001,4.25
