row_id,n_tokens,suffix3,FREQ,FREQ_split,records_removed,LAST_YEAR,LAST_YEAR_split
297,2,ari,13,12,1,2024,2022
298,3,ari,4,3,1,2025,2017
299,2,uni,3,2,1,2024,2010
300,2,ani,2,1,1,2024,2017
301,2,ana,8,7,1,2024,2020
302,2,ana,10,9,1,2024,2023
303,2,han,3,2,1,2025,2023
304,3,ani,2,1,1,2024,2021
305,2,tri,2,1,1,2025,2006
306,3,mid,2,1,1,2024,2021
307,2,ini,5,2,3,2024,2023
308,2,uzi,7,6,1,2024,2014
309,2,ana,16,15,1,2024,2023
310,2,aya,2,1,1,2024,2010
311,2,ayu,2,1,1,2024,2007
312,1,ati,9,8,1,2025,2017
313,1,yah,14,13,1,2024,2012
314,3,tri,2,1,1,2024,2019
315,2,wan,2,1,1,2024,2005
316,2,zah,2,1,1,2024,2013
317,1,mah,7,6,1,2025,2021
318,2,ana,2,1,1,2024,2021
319,1,lah,5,4,1,2025,2013
320,3,ari,2,1,1,2025,2022
321,1,fri,9,8,1,2025,2008
322,2,ila,2,1,1,2024,2017
323,3,han,2,1,1,2024,2023
324,3,evi,2,1,1,2024,2020
325,2,ani,2,1,1,2025,2022
326,1,ika,10,9,1,2024,2015
327,1,rin,2,1,1,2024,2021
328,1,vin,7,6,1,2024,2017
329,2,wan,4,3,1,2025,2023
330,2,nto,2,1,1,2024,2023
331,2,ila,2,1,1,2025,2022
332,2,zal,2,1,1,2025,2015
333,1,isa,23,19,4,2024,2023
334,4,aha,2,1,1,2024,2023
335,2,tra,3,2,1,2024,2012
336,2,war,7,6,1,2024,2019
337,2,mah,11,10,1,2024,2016
338,1,sih,8,7,1,2025,2014
339,2,din,2,1,1,2024,2020
340,3,eda,2,1,1,2024,2021
341,4,tri,2,1,1,2025,2022
342,1,ura,2,1,1,2025,2000
343,3,nso,2,1,1,2024,2022
344,2,ati,2,1,1,2024,2009
345,2,kim,5,4,1,2025,2015
346,2,kim,4,3,1,2025,2008
347,1,iah,2,1,1,2024,1999
348,3,hly,2,1,1,2024,2014
349,3,ida,2,1,1,2024,2021
350,4,loh,2,1,1,2024,2021
351,2,ena,4,3,1,2024,2010
352,2,lfa,12,11,1,2024,2016
353,1,isa,5,4,1,2024,2018
354,2,fia,2,1,1,2024,2019
355,1,ana,18,17,1,2025,2022
356,2,din,2,1,1,2025,2015
357,2,suf,15,14,1,2024,2023
358,2,ani,2,1,1,2025,2020
359,3,ira,2,1,1,2024,2021
360,2,lim,2,1,1,2024,2011
361,2,nah,2,1,1,2024,2011
362,2,uda,7,6,1,2025,2022
363,2,nah,12,11,1,2024,2023
364,2,ina,2,1,1,2024,2011
365,2,zqi,2,1,1,2025,2000
366,5,ana,2,1,1,2024,2021
367,2,aqi,2,1,1,2024,2014
368,2,afi,3,1,2,2025,2011
369,3,rco,2,1,1,2025,2022
370,2,nto,2,1,1,2025,2002
371,3,han,2,1,1,2025,2023
372,2,dil,2,1,1,2024,2022
373,2,dli,5,4,1,2025,2021
374,2,sal,4,3,1,2024,2011
375,2,jri,3,2,1,2025,2021
376,2,uzi,5,4,1,2024,2016
377,2,aus,3,2,1,2025,2020
378,2,nif,2,1,1,2025,2016
379,2,bal,9,8,1,2025,2014
380,3,han,2,1,1,2024,2020
381,2,afi,2,1,1,2025,2021
382,2,fif,2,1,1,2024,2019
383,2,han,5,4,1,2025,2022
