row_id,suffix3,label,n_wrong_of_20,n_models_ever_wrong,n_chars,n_tokens,wrong_CharBiRNN,wrong_CharBiGRU,wrong_CharBiLSTM,wrong_CharTransformer,ends_listed_suffix,unseen_tokens,all_tokens_unseen
432,ana,1,0,0,11,2,0,0,0,0,False,0,False
433,lla,1,0,0,15,2,0,0,0,0,False,2,True
434,lla,1,0,0,19,3,0,0,0,0,False,0,False
435,sah,0,17,4,15,2,5,3,4,5,True,0,False
436,eri,0,0,0,19,3,0,0,0,0,False,1,False
437,sti,1,0,0,22,3,0,0,0,0,False,0,False
438,ani,1,0,0,15,2,0,0,0,0,True,0,False
439,nti,1,0,0,17,2,0,0,0,0,True,0,False
440,yah,0,0,0,21,3,0,0,0,0,True,0,False
441,ana,0,0,0,21,3,0,0,0,0,False,0,False
442,ani,0,0,0,20,3,0,0,0,0,True,0,False
443,yah,0,0,0,22,3,0,0,0,0,True,0,False
444,wal,0,0,0,16,3,0,0,0,0,False,0,False
445,ani,1,0,0,20,3,0,0,0,0,True,0,False
446,ika,1,9,3,20,3,1,3,0,5,True,0,False
447,aiz,0,0,0,10,2,0,0,0,0,False,0,False
448,dra,0,0,0,20,3,0,0,0,0,False,0,False
449,man,0,0,0,22,3,0,0,0,0,True,0,False
450,ani,1,0,0,15,2,0,0,0,0,True,1,False
451,tra,0,0,0,19,3,0,0,0,0,False,1,False
452,tra,0,0,0,13,2,0,0,0,0,False,0,False
453,owo,0,0,0,16,3,0,0,0,0,False,0,False
454,rif,1,0,0,23,3,0,0,0,0,False,1,False
455,nti,1,0,0,22,3,0,0,0,0,False,1,False
456,him,1,5,4,21,3,1,1,2,1,False,1,False
457,rah,1,0,0,19,2,0,0,0,0,True,2,True
458,tia,1,1,1,12,2,0,1,0,0,False,0,False
459,hma,1,0,0,12,2,0,0,0,0,False,0,False
460,isy,1,0,0,29,4,0,0,0,0,False,0,False
461,ama,1,20,4,18,3,5,5,5,5,False,0,False
462,ina,1,15,4,22,3,4,5,1,5,False,0,False
